,Coefficient,Mean SHAP,McFadden R2
pos_variability,-0.025504776341336334,0.014488979817260675,0.9622477244395505
n_dependency_prt,-0.022328403003025306,0.0143608284464426,0.9622466904879323
tokens_per_sentence,-0.020818895391599458,0.014203946241260985,0.9622460747658965
flesch_reading_ease,-0.018979259609106833,0.014174612427564041,0.9622457353210566
n_controversial_Olfactory_sensorimotor,-0.017320034926656888,0.014007170680161923,0.9622453451921675
n_dependency_ccomp,-0.019548213962138454,0.01384445784990352,0.9622458783791662
n_low_intensity_joy,-0.015568554505797898,0.013771147718751172,0.9622449531042031
n_high_Mouth_sensorimotor,-0.01819998147126615,0.013741663740666193,0.9622455578159961
flesch_kincaid_grade,0.01838342771348535,0.013719116556523357,0.962245585076305
n_language,-0.04594963801451583,0.013572767344921416,0.9622574711894293
n_PUNCT_PunctType_Quot,0.05181145815079039,0.013176996922345485,0.9622546159038754
n_dependency_compound,-0.01673821768984745,0.012340548936223304,0.9622451694535238
n_high_disgust_intensity,0.035414865445806416,0.012036065180671329,0.9622516061203452
n_high_Olfactory_sensorimotor,0.032893536810369876,0.011855477978632357,0.9622504775990242
n_work_of_art,0.05489074294987674,0.011709619076601398,0.9622615893670741
n_dependency_xcomp,-0.014706955428946638,0.011441081161999817,0.9622447754615341
n_money,0.03541623065444505,0.01134601381835491,0.9622503883912598
n_types,0.014648535268326442,0.01102394733243256,0.962244762991429
n_dependency_expl,-0.023192330072369798,0.010548360102720056,0.9622469607331294
n_PRON_PronType_Prs,0.013262684050097142,0.010454844367821538,0.962244499847462
n_low_synsets_adv,0.012056653562023373,0.00942201730049774,0.9622442916618613
avg_intensity_disgust,0.012304631946545535,0.009384264730120408,0.9622443330891425
n_VERB_VerbForm_Fin,0.011490294306128157,0.009142173650674794,0.96224420133707
n_intj,-0.01867918457689267,0.008597109186036896,0.9622456581460191
n_PRON_Gender_Neut,0.010634637970874475,0.0083096724479972,0.9622440723545884
n_low_concreteness,0.010732294221909787,0.008295174144808994,0.962244086920602
n_dependency_preconj,-0.012473870466817149,0.008276612117833274,0.9622443623358509
n_dependency_parataxis,-0.03294625921108897,0.008248639022266356,0.9622501857430079
n_dependency_csubj,0.017109310439354375,0.007987705965410393,0.962245292308725
n_dependency_conj,-0.014012590826193336,0.007851341833077473,0.9622444235204466
n_high_Hand_arm_sensorimotor,0.010228911909499969,0.0075782194202081085,0.9622440148596433
n_ADV_Degree_Sup,-0.02060933587429211,0.007552516148464976,0.9622461922299688
avg_sd_Haptic_sensorimotor,-0.010790414640529844,0.007434893528380726,0.9622440952917005
n_low_dominance,-0.009268850674252122,0.007316615447904779,0.9622438871789161
n_lexical_tokens,0.008968710331833007,0.006776085579677482,0.9622438484511208
n_PRON_PronType_Rel,-0.008801359633551772,0.006737425794365792,0.9622438302181843
n_PRON_PronType_Art,-0.022813718378207736,0.006736913397601331,0.9622466539595153
n_dependency_nsubj,0.008247106135845138,0.006279477638974747,0.9622437653867487
n_dependency_mark,-0.007998661949464721,0.00622413195332664,0.9622437383775273
n_PRON_Gender_Masc,0.020447110186438546,0.006006312238449101,0.962246078643751
n_percent,-0.012238383135066427,0.005633696280139202,0.9622442210578637
n_sconj,-0.0070600424667082995,0.0055535161479157965,0.9622436421194555
n_tokens,-0.007695483741761308,0.005502347474194401,0.9622437032332164
n_low_synsets_adj,-0.0070573783697240764,0.005432844079275937,0.9622436416435931
n_fac,0.011565332139125136,0.005413855497154355,0.9622442106651284
n_dependency_amod,0.00660724406037707,0.005143363103351109,0.9622435999142023
n_propn,0.007261375049304341,0.0050210638030143695,0.9622436604479723
n_high_Visual_sensorimotor,0.005995868376839789,0.004634650781964345,0.9622435474601313
n_product,-0.00794749528210814,0.004555049135499254,0.9622437328159595
n_person,0.007270171497380723,0.00450051189287018,0.9622436499724035
n_dependency_appos,-0.006974476273064168,0.004391862698386023,0.9622436333781031
n_low_Head_sensorimotor,-0.005723525630043778,0.00435694125564447,0.9622435257811102
n_noun,-0.005743104261759633,0.0042897124530108235,0.9622435265519403
n_hedges,0.005613394242074394,0.004243807936211819,0.9622435172480369
n_high_synsets_adj,0.006214090218511875,0.004046779371275634,0.9622435655438525
n_PRON_Number_Sing,0.005578782972475966,0.003726153962313796,0.9622435145607704
n_dependency_neg,-0.004901627810489524,0.003553819488543145,0.9622434663511183
n_noun_chunks,0.003991502643579534,0.0029401845235693894,0.9622434111618213
n_dependency_dep,0.004831397875701997,0.0029205836926030826,0.9622434615226412
n_NOUN_Case_Acc,-0.015535168959892256,0.002904608692894325,0.9622449314854751
n_PRON_Gender_Fem,0.016630405239054305,0.002868906704704154,0.9622451372881107
n_gpe,-0.004704325319772561,0.0027276613661947487,0.9622434521111881
n_low_aoa,0.003552068636800284,0.002687741528832115,0.9622433886633253
n_dependency_csubjpass,-0.013009837522848502,0.0026738625641501636,0.9622444528437863
n_ADJ_Degree_Cmp,-0.0036410288128241723,0.0026647533615934207,0.9622433929031825
n_loc,-0.00994897721595501,0.0026474710639176344,0.9622439762376923
n_adj,-0.003305901767715878,0.002567693564275881,0.9622433771642277
n_controversial_aoa,0.002946035996875105,0.00252380278019377,0.9622433618483556
hdd,0.022794002849834172,0.0024799468250285457,0.9622445333364952
n_high_Haptic_sensorimotor,-0.0031466895740329924,0.002470051171553246,0.9622433701798275
avg_Auditory_sensorimotor,-0.003303552219459795,0.002405203811043042,0.9622433770661443
n_dependency_dative,0.007517817528314321,0.0023977243104676207,0.9622436870010967
n_law,-0.007151613897089472,0.0023724814702962807,0.9622436508729663
n_PRON_PronType_Ind,0.008201321120946898,0.002371637193690529,0.9622437569508134
n_dependency_quantmod,-0.00643655741366707,0.0022271640229093773,0.96224357350429
n_sym,0.0062495234278350355,0.0022169403261146207,0.9622435271145316
n_PRON_Case_Acc,-0.0033975587859277475,0.0020654767577153645,0.9622433813617909
n_dependency_meta,0.002673063097008996,0.0018468704743991654,0.9622433514003328
tree_depth,-0.002486001291477949,0.0018313040351875447,0.9622433447994804
n_ADJ_Degree_Pos,0.002310256663582069,0.001790968650894096,0.9622433390940841
n_time,0.006169558128320991,0.0017250277310087506,0.9622435540739884
n_PROPN_Case_Acc,-0.015741510861860184,0.0012401476780784057,0.9622449762251145
n_PROPN_Number_Sing,0.0016736424901682863,0.0011545310061481034,0.9622433218267993
n_x,0.001533772410845927,0.0009392167305185756,0.9622433187687558
n_event,0.009859964362268422,0.0008183891192115403,0.9622439602796219
n_dependency_oprd,0.002280880925740326,0.0007569274440846185,0.962243338175824
n_PROPN_Case_Nom,-0.011962894504091007,0.0007001823343186233,0.9622442720138419
n_PRON_PronType_Dem,-0.0010948037989912006,0.0006839586566805629,0.9622433109227435
n_NOUN_Case_Nom,-0.010723794791681255,0.0005808602712536076,0.9622440824327199
n_high_anticipation_intensity,-0.000868289401168309,0.0005312585283763693,0.9622433078951873
n_high_sadness_intensity,0.001003725202572159,0.0005071114624136719,0.9622433096203329
n_ADV_Degree_Cmp,-0.00023744967400796883,0.00014533344541732727,0.9622433031459635
simpsons_d,0.08399571083218017,0.00013214945368966315,0.962243458152996
n_quantity,-0.0014693996810708758,0.00013004865464901546,0.9622433174641947
n_PRON_Reflex_Yes,0.00029484237658401524,7.705710308257072e-05,0.9622433033539308
n_PROPN_Gender_Neut,0.005305801367804203,7.498620218796318e-05,0.9622434854009864
n_NOUN_Gender_Neut,0.005262321069212926,5.3910237519758965e-05,0.9622434825497591
n_NUM_Case_Nom,-0.0037872981526126575,2.7659093142403638e-05,0.9622433976243768
n_NUM_Number_Sing,-0.001747793078461726,2.4046710424927453e-05,0.9622433235396658
n_ADJ_Case_Acc,-0.0008314369427307005,2.910546385864636e-06,0.962243307449235
n_NUM_Case_Acc,0.00014628083925012828,1.7328006922659922e-06,0.9622433029077485
n_ADJ_Number_Sing,-0.0004402828291266104,1.6581373569735306e-06,0.9622433040811004
n_ADJ_Case_Nom,0.0005478186664279201,8.103746271797084e-07,0.9622433047485676
n_VERB_Number_Plur,-7.063834961631944e-05,1.3543924255896282e-07,0.9622433027960726
